####,,,,,,,,,,,
##################,,"India Pollution levels, State wise, 2014-2015",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
stn_code,sampling_date,State_location,agency,type,p_value,so2,no2,pm2_rspm,location_monitoring_station,date,Year
SAMP,30-07-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,26,29,"pm2 34,rspm 83","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",7/30/2015 0:00,2015
SAMP,29-10-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,26,26,"pm2 34,rspm 85","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",10/29/2015 0:00,2015
82,2/11/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,26,20,"pm2 46.2,rspm 53","Chemical Division Labour Club, Nagda",11/2/2015 0:00,2015
SAMP,18-05-15,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,26,28,"pm2 31,rspm 85","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",5/18/2015 0:00,2015
SAMP,4/6/2015,"Gujarat,ANKLESHWAR",Gujarat State Pollution Control Board,RIRUO,,26,25,"pm2 30,rspm 92","Panoli Ind.Asso. & Emergency Response Centre,Plot-913/10-20, GIDC, Panoli,ANKLESHWAR",6/4/2015 0:00,2015
82,9/7/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,26,18,"pm2 37,rspm 53","Chemical Division Labour Club, Nagda",7/9/2015 0:00,2015
82,5/10/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,26,18,"pm2 33,rspm 55","Chemical Division Labour Club, Nagda",10/5/2015 0:00,2015
744,29-10-14,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,25.8,58.8,"pm2 69,rspm 150","APIIC Building, IDA, Pashamylaram",10/29/2014 0:00,2014
744,27-01-14,"Telangana,Sangareddy",Andhra Pradesh State Pollution Control Board,Industrial Area,,25.2,62,"pm2 54,rspm 125","APIIC Building, IDA, Pashamylaram",1/27/2014 0:00,2014
101,20-03-14,"Gujarat,Ahmedabad",Gujarat State Pollution Control Board,Industrial Area,,25.15,14.56666667,"pm2 30,rspm 83","Naroda, G.I.D.C., Ahmadabad",3/20/2014 0:00,2014
